n_estimators,eta,min_child_weight,max_depth,colsample_bytree,subsample
100,0.01,4,5,0.8,0.8
100,0.01,6,3,0.8,0.9
100,0.01,6,7,0.9,0.9
100,0.01,3,7,0.8,0.9
100,0.01,2,6,0.9,0.9
100,0.01,2,5,0.8,0.8
100,0.01,5,7,0.8,0.9
100,0.01,1,3,0.8,0.9
100,0.01,1,7,0.9,0.9
100,0.01,1,6,0.8,0.9
100,0.01,1,3,0.8,0.8
100,0.01,6,5,0.8,0.8
100,0.01,3,3,0.8,0.9
100,0.01,3,5,0.9,0.8
100,0.01,6,3,0.9,0.8
100,0.01,6,7,0.9,0.9
100,0.01,2,5,0.8,0.9
100,0.01,5,7,0.8,0.8
100,0.01,1,8,0.8,0.9
100,0.01,6,4,0.9,0.9
100,0.01,5,8,0.8,0.8
100,0.01,1,5,0.8,0.9
100,0.01,5,8,0.8,0.9
100,0.01,6,4,0.8,0.9
100,0.01,2,4,0.8,0.8
100,0.01,2,4,0.8,0.9
100,0.01,6,3,0.8,0.8
100,0.01,2,5,0.9,0.8
100,0.01,3,3,0.9,0.9
100,0.01,2,3,0.8,0.9
100,0.01,6,6,0.8,0.8
100,0.01,3,4,0.9,0.9
100,0.01,5,8,0.9,0.9
100,0.01,5,3,0.9,0.9
100,0.01,1,6,0.8,0.9
100,0.01,1,4,0.9,0.9
100,0.01,5,7,0.8,0.9
100,0.01,6,4,0.8,0.9
100,0.01,1,5,0.8,0.8
100,0.01,1,8,0.8,0.9
100,0.01,1,6,0.8,0.8
100,0.01,5,7,0.8,0.9
100,0.01,6,3,0.8,0.8
100,0.01,3,7,0.9,0.8
100,0.01,6,8,0.8,0.8
100,0.01,6,8,0.8,0.8
100,0.01,5,6,0.8,0.8
100,0.01,6,5,0.8,0.9
100,0.01,6,3,0.8,0.8
100,0.01,3,3,0.9,0.8
100,0.01,4,5,0.8,0.9
100,0.01,5,3,0.8,0.8
100,0.01,6,5,0.8,0.9
100,0.01,3,3,0.8,0.8
100,0.01,5,4,0.8,0.9
100,0.01,6,4,0.8,0.8
100,0.01,6,7,0.8,0.8
100,0.01,2,3,0.8,0.8
100,0.01,4,3,0.8,0.8
100,0.01,4,6,0.8,0.9
